Subject_ID,excluded,pressed_button1,pressed_button2,set_1,set_1_trials_total,set_1_chose_diatonic,set_1_chose_chromatic,set_1_%_diatonic,set_1_%_chromatic,set_1_rt_diatonic,set_1_rt_chromatic,set_1_rt,set_1_rt_diatonic:average,set_1_rt_chromatic:average,set_2,set_2_trials_total,set_2_chose_diatonic,set_2_chose_chromatic,set_2_%_diatonic,set_2_%_chromatic,set_2_rt_diatonic,set_2_rt_chromatic,set_2_rt,set_2_rt_diatonic:average,set_2_rt_chromatic:average,set_3,set_3_trials_total,set_3_chose_diatonic,set_3_chose_chromatic,set_3_%_diatonic,set_3_%_chromatic,set_3_rt_diatonic,set_3_rt_chromatic,set_3_rt,set_3_rt_diatonic:average,set_3_rt_chromatic:average
SVGb0039,False,58,62,"0, 2, 3, 5, 6, 8, 9",40,16,24,0.4,0.6,2883.743437472731,1175.1206249852355,1858.5697499802336,1.5515927973665773,0.6322714684222819,"0, 2, 4, 5, 7, 8, 11",40,8,32,0.2,0.8,3519.9262500100303,1498.0682812674786,1902.439875015989,1.8502168169600879,0.7874457957599781,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,1996.2760000140406,2233.791250025388,2115.0336250197142,0.9438507153735834,1.0561492846264167
SVGb0044,False,54,66,"0, 2, 3, 5, 6, 8, 9",40,18,22,0.45,0.55,2355.537777777383,2349.618636363631,2352.282249999819,1.001383986882341,0.9988676470962665,"0, 2, 4, 5, 7, 8, 11",40,15,25,0.375,0.625,2459.4240000000727,2378.2109999999066,2408.6658749999688,1.0210731282935226,0.9873561230238865,"0, 2, 3, 5, 7, 9, 11",40,25,15,0.625,0.375,2056.057799999976,2879.8146666666144,2364.9666249999655,0.8693813173790585,1.2176978043682356
SVGb0049,False,116,4,"0, 2, 3, 5, 6, 8, 9",40,19,21,0.475,0.525,13277.470789472205,27172.84595237916,20572.542749998356,0.6453976521435721,1.3208306956796254,"0, 2, 4, 5, 7, 8, 11",40,19,21,0.475,0.525,4961.514736839656,9119.75071428633,7144.58862499916,0.6944437247904163,1.2764556775705758,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,8693.851750000555,7206.4289999987695,7950.1403749996625,1.0935469488488023,0.9064530511511975
SVGb0051,False,58,62,"0, 2, 3, 5, 6, 8, 9",40,21,19,0.525,0.475,1084.0299999995511,1600.8265789438922,1329.5083749981131,0.8153615429470985,1.2040740841111017,"0, 2, 4, 5, 7, 8, 11",40,19,21,0.475,0.525,1160.340263162078,1625.5235714294638,1404.5615000024554,0.8261227886141329,1.1573174769681656,"0, 2, 3, 5, 7, 9, 11",40,18,22,0.45,0.55,1715.12138888809,1500.801590914224,1597.2455000024638,1.073799480972364,0.9396186064771564
SVGb0054,False,47,73,"0, 2, 3, 5, 6, 8, 9",40,20,20,0.5,0.5,1766.2644999989193,1474.986500003445,1620.625500001182,1.0898659190526319,0.9101340809473683,"0, 2, 4, 5, 7, 8, 11",40,16,24,0.4,0.6,1507.2071875074907,1462.8850000032398,1480.6138750049402,1.0179610045208187,0.9880259969861209,"0, 2, 3, 5, 7, 9, 11",40,27,13,0.675,0.325,1295.598703700661,1801.7511538458593,1460.0982499978504,0.8873366595039535,1.2339930917994812
SVGb0055,False,44,76,"0, 2, 3, 5, 6, 8, 9",40,19,21,0.475,0.525,1246.3134210495475,1018.9364285740469,1126.9404999999097,1.1059265516233088,0.9041616913884349,"0, 2, 4, 5, 7, 8, 11",40,17,23,0.425,0.575,1665.8094117541195,1246.1604347791645,1424.5112499935203,1.1693901411882124,0.8747985912956692,"0, 2, 3, 5, 7, 9, 11",40,24,16,0.6,0.4,990.9641666624035,1969.6656249907392,1382.4447499937378,0.7168200875057701,1.4247698687413448
SVGb0057,False,50,70,"0, 2, 3, 5, 6, 8, 9",40,18,22,0.45,0.55,985.4625000023386,1043.205227274236,1017.2210000018822,0.9687791541862734,1.025544328393049,"0, 2, 4, 5, 7, 8, 11",40,15,25,0.375,0.625,880.4096666669162,901.280999998562,893.4542499991949,0.9853998306770712,1.0087601015937573,"0, 2, 3, 5, 7, 9, 11",40,23,17,0.575,0.425,1007.316304347984,1120.6049999934348,1055.4639999973006,0.9543824368718974,1.0617178795262565
SVGb0058,False,63,57,"0, 2, 3, 5, 6, 8, 9",40,19,21,0.475,0.525,966.8197368446333,1155.6466666668532,1065.9538750012987,0.9069995986866274,1.0841432202359087,"0, 2, 4, 5, 7, 8, 11",40,16,24,0.4,0.6,789.9140625004584,980.7781249989299,904.4324999995413,0.873380890780527,1.0844127394796488,"0, 2, 3, 5, 7, 9, 11",40,22,18,0.55,0.45,805.9370454549102,1253.3355555577955,1007.2663750012085,0.8001230513169302,1.2442940483904188
SVGb0059,False,56,64,"0, 2, 3, 5, 6, 8, 9",40,17,23,0.425,0.575,4822.062941172215,2440.960434796896,3452.9290000064066,1.3965137832730612,0.7069245949720852,"0, 2, 4, 5, 7, 8, 11",40,16,24,0.4,0.6,10363.769062489155,2362.0604166741637,5562.74387500016,1.8630678124631177,0.42462145835792153,"0, 2, 3, 5, 7, 9, 11",40,23,17,0.575,0.425,2047.5993478194932,3562.227352940039,2691.3162499957252,0.7608170715064592,1.3236004326677318
SVGb0061,False,39,81,"0, 2, 3, 5, 6, 8, 9",40,21,19,0.525,0.475,1494.6957142840672,849.188421041043,1188.0797499936307,1.258076921428953,0.7147570868416834,"0, 2, 4, 5, 7, 8, 11",40,24,16,0.6,0.4,925.2916666761545,1338.2056249974994,1090.4572500046925,0.8485354805721845,1.227196779141723,"0, 2, 3, 5, 7, 9, 11",40,14,26,0.35,0.65,799.7024999973031,968.1309615440953,909.1810000027181,0.8795855830631221,1.0648385321967804
